Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2013-02-18,DT,869000,true,false,43395,869000,14 mins 29 secs,"first time RXed, all Jerks unbroken, Deadlifts and cleans broken into 2 sets","5 rounds of:
12 Deadlifts, 105 lbs
9 Hang Power Cleans, 105 lbs
6 Push Jerks, 105 lbs"
2013-02-17,Run 5 mi TT,3545000,true,false,85621,3545000,59 mins 5 secs,"Wind blowing north, sluggish","Interval
Run, 5 mi | 59:05"
2013-02-15,Front Squat 5-5-5-5-5,1417.47615625,true,false,10250,,3125 lbs,"","Sets
5 Front Squats | 105 lbs
5 Front Squats | 115 lbs
5 Front Squats | 125 lbs
5 Front Squats | 135 lbs
5 Front Squats | 145 lbs"
2013-02-15,"AMRAP 5 mins: Front Squats, Toes To Bars and Row (calories)s",2.667,true,false,5925,300000,2 rounds + 5 Front Squats + 6 Toes To Bars,"T2B unbroken, but not strung together with kip","5:00 AMRAP:
5 Front Squats, 65 lbs
6 Toes To Bars
10 Row (calories)s"
2013-02-14,"Strict Press : 10 @ 60%, 10 @ 65%, 10 @ 70%, 8 @ 75%, rest 2 mins",4502,true,false,4502,,Completed,Didnt think i would get through the last set,"Sets : rest 2 mins
10 Strict Press, 60% 1RM | 60 lbs
10 Strict Press, 65% 1RM | 65 lbs
10 Strict Press, 70% 1RM | 70 lbs
8 Strict Press, 75% 1RM | 75 lbs"
2013-02-14,"Bodyweight Bench Presses, Kettlebell Swings",130,false,false,25824,,"130 reps | 28, 25, 22, 28, and 27 reps","","12 Bodyweight Bench Press 95 lbs
16 Kettlebell Swings 1.5 pood
12 Bodyweight Bench Press 95 lbs
13 Kettlebell Swings 1.5 pood
7 Bodyweight Bench Press 95 lbs
15 Kettlebell Swings 1.5 pood
9 Bodyweight Bench Press 95 lbs
19 Kettlebell Swings 1.5 pood
7 Bodyweight Bench Press 95 lbs
20 Kettlebell Swings 1.5 pood"
2013-02-13,"Run 1,2, or 3 miles",1710000,false,false,79483,1710000,28 mins 30 secs,"On tredmill, first time running this far at 6.0+, last mile went up 0.1 mph per 0.1 mi",3 mi Runs 28 mins 30 secs
2013-02-12,Back Squat 3x10 @ 70% 5RM,,false,false,13270,,"",@60/65/70 % 1RM,"10 Back Squats 135 lbs
Rests 3 mins
10 Back Squats 145 lbs
Rests 3 mins
10 Back Squats 155 lbs
Rests 3 mins"
2013-02-12,4x AMRAP 3 mins: Squat Snatches and Toes To Bars,5.2,false,false,24362,720000,5.2 rounds,"95 too heavy, t2b were awful","4x 3:00 AMRAP:
5 Squat Snatches, 85 lbs
5 Toes To Bars
Resting 1 min in between each AMRAP."
2013-02-11,Jackie,736000,true,false,65430,736000,12 mins 16 secs,"Pull-ups in 2-3s
","Row, 1000 m
50 Thrusters, 45 lbs
30 Pull-ups"
2013-02-11,Lifting: Power Cleans and Hang Power Cleans,825.5381134,false,false,8807,,1820 lbs,"Clean ladder from The Fittest Games:
EMOM 1 clean/1 hang clean, Bar could not go below knees between lifts, only one attempt per weight, failed on the 140 hang clean.
","Sets
1 Power Clean | 105 lbs
1 Power Clean | 110 lbs
1 Power Clean | 115 lbs
1 Power Clean | 120 lbs
1 Power Clean | 125 lbs
1 Power Clean | 130 lbs
1 Power Clean | 135 lbs
1 Power Clean | 140 lbs
0 Power Cleans | 145 lbs
0 Power Cleans | 150 lbs
1 Hang Power Clean | 105 lbs
1 Hang Power Clean | 110 lbs
1 Hang Power Clean | 115 lbs
1 Hang Power Clean | 120 lbs
1 Hang Power Clean | 125 lbs
1 Hang Power Clean | 130 lbs
1 Hang Power Clean | 135 lbs
0 Hang Power Cleans | 140 lbs
0 Hang Power Cleans | 145 lbs
0 Hang Power Cleans | 150 lbs"
2013-02-07,"6 RFT: Kettlebell Snatches, Kettlebell Sumo Deadlift High-pulls, Kettlebell Swings and Rows",2081000,false,false,160563,2081000,34 mins 41 secs,Alternated between rowing 250m and running 200m each round,"6 rounds of:
20 Kettlebell Snatches, 1 pood
20 Kettlebell Sumo Deadlift High-pulls, 1 pood
20 Kettlebell Swings, 1 pood
Row, 250 m"
2013-02-06,"Chipper: Handstand Push Ups, Pull-ups, Kettlebell Swings and 2 more",1245000,false,false,74937,1245000,20 mins 45 secs,HSPU to Abmat + 1 1/2 inch plate,"30 Handstand Push Ups
40 Pull-ups
50 Kettlebell Swings, 1 pood
60 Sit-up (abmat)s
70 Burpees"
2013-02-05,CrossFit Games Open 11.1 / 14.1,5.767,true,false,53511,600000,5 rounds + 30 Double Unders + 8 Power Snatches,"","10:00 AMRAP:
30 Double Unders
15 Power Snatches, 55 lbs"
2013-02-04,Back Squat 5-5-5-5-5-5-5-5-5-5,3776.15648025,true,false,23853,,"8325 lbs | 166.5 lbs, 166.5 lbs, 166.5 lbs, 166.5 lbs, 166.5 lbs, 166.5 lbs, 166.5 lbs, 166.5 lbs, 166.5 lbs, and 166.5 lbs","","10 rounds of:
5 Back Squats 166.5 lbs"
2013-02-02,Run 4 mi TT,2539000,true,false,85459,2539000,42 mins 19 secs,"First long run of 1/2 marathon training.  In Midland, 4 mile loop through soloman estates Temp ~ 60 deg slight wind from the east","Interval
Run, 4 mi | 42:19"
2013-02-01,Front Squats 10x5,20500,true,false,20500,,Completed,"rested ~ 1:30 between sets, not really enough time but we had to get to the WOD","10 rounds of:
5 Front Squats 125 lbs"
2013-02-01,Kelly,935000,false,false,57883,935000,15 mins 35 secs,"","2 rounds of:
Run, 400 m
30 Box Jumps, 20 in
30 Wall Balls, 14 lbs"
2013-01-30,AMReps 15 mins: Double Unders and Sit outs,372,true,false,16089,900000,372 reps,"EMOM for 15Min
Start with 10 DUs and 10 sitouts
Add 1 rep to each movement every min
If you cannot complete the round within the min sit out the next min
Post total DUs and Sit Outs completed ","AMReps in 15 mins:
Double Under | 186 reps
Sit outs | 186 reps"
2013-01-28,Back Squat 5-5-5-5-5-5-5-5-5-5,3674.098197,true,false,23490,,"8100 lbs | 162 lbs, 162 lbs, 162 lbs, 162 lbs, 162 lbs, 162 lbs, 162 lbs, 162 lbs, 162 lbs, and 162 lbs",72% 1RM,"10 rounds of:
5 Back Squats 162 lbs"
2013-01-28,"AMRAP 12 mins: Barbell Curls, Box Jumps and Pull-ups",3.267,true,false,25550,720000,3 rounds + 12 Barbell Curls,"","12:00 AMRAP:
15 Barbell Curls, 65 lbs
15 Box Jumps, 20 in
15 Pull-ups"
2013-01-22,Deadlift 10x5 at 70% 1RM,24347,true,false,24347,,Completed,"Videoed last set, rounding back on first pull, subsequent pulls are a lot better","Sets
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs
5 Deadlifts, 70% 1RM | 192.5 lbs"
2013-01-22,"Lifting: Zercher Yoke Carries, Rope Climbs and Hang Power Cleans",1530.87424875,false,false,20556,,3375 lbs,"3R for completion
Zercher Carry yoke down to Rope 25m
Climb Rope 10ft
Zercher Cary yoke back to Barbell 25m
15 Hang Power Cleans @ 65lbs","Sets
1 Zercher Yoke Carry, 50 m | 150 lbs
1 Zercher Yoke Carry, 50 m | 150 lbs
1 Zercher Yoke Carry, 50 m | 150 lbs
1 Rope Climb, 10 ft
1 Rope Climb, 10 ft
1 Rope Climb, 10 ft
15 Hang Power Cleans | 65 lbs
15 Hang Power Cleans | 65 lbs
15 Hang Power Cleans | 65 lbs"
2013-01-21,Back Squat 5-5-5-5-5-5-5-5-5-5,3572.03991375,true,false,23126,,"7875 lbs | 157.5 lbs, 157.5 lbs, 157.5 lbs, 157.5 lbs, 157.5 lbs, 157.5 lbs, 157.5 lbs, 157.5 lbs, 157.5 lbs, and 157.5 lbs",10X5 @ 70% 1RM,"10 rounds of:
5 Back Squats 157.5 lbs"
2013-01-21,Push Press 10x5 at 70% 1RM,7503,true,false,7503,,Completed,E2M,"Sets
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs
5 Push Press, 70% 1RM | 85 lbs"
2013-01-21,"Snatches, Lateral Burpee (Over Barbell)s",680.388555,true,false,13323,600000,"1500 lbs | 75 lbs, 75 lbs, 75 lbs, 75 lbs, 75 lbs, 75 lbs, 75 lbs, 75 lbs, 75 lbs, and 75 lbs",Snatch @ 75# rds 8-10 were tough,"2 Snatches 75 lbs
1 Lateral Burpee (Over Barbell)
2 Snatches 75 lbs
2 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
3 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
4 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
5 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
6 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
7 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
8 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
9 Lateral Burpee (Over Barbell)s
2 Snatches 75 lbs
10 Lateral Burpee (Over Barbell)s"
2013-01-18,Fight Gone Bad,254,true,false,52220,900000,"254 reps | 94, 81, and 79 reps",@ voodoo crossfit 0630 WOD,"3 rounds, 1 min per station:
Wall Ball, 14 lbs, 8 ft
Sumo Deadlift High Pull, 55 lbs
Box Jump, 20 in
Push Press, 55 lbs
Row (calories)
Rest 1 min"
2013-01-16,"Row : 10x 30 secs, rest 1:30",734.0,true,false,36317,,734 m,"10 sitouts between each round and rest for the remaining time, damper setting of 7 on rows","Interval : rest 1:30
Row, 30 secs | 150 m
8 Airdyne (Calories)s, 30 secs |  m
Row, 30 secs | 146 m
10 Airdyne (Calories)s, 30 secs |  m
Row, 30 secs | 148 m
12 Airdyne (Calories)s, 30 secs |  m
Row, 30 secs | 144 m
10 Airdyne (Calories)s, 30 secs |  m
Row, 30 secs | 146 m
12 Airdyne (Calories)s, 30 secs |  m"
2013-01-15,Deadlift 10x5 at 70% 1RM,23511,false,false,23511,,Completed,"E3M, 68% 1RM round up","Sets
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs
5 Deadlifts, 70% 1RM | 185 lbs"
2013-01-15,Active Rest Day,90,false,false,24021,,"90 reps | 20/10, 20/10, and 20/10",Core Cool Down,"3 rounds of:
20 GHD Sit-ups
10 Good Mornings 45 lbs"
2013-01-14,"AMRAP 7 mins: Muscle Ups, Knees To Feets and Wall Balls",2.0,false,false,8086,420000,2 rounds,Subbed C2B pull-ups and dips for MUs,"7:00 AMRAP:
3 Muscle Ups
5 Knees To Feets
7 Wall Balls, 20 lbs, 9 ft"
2013-01-14,Back Squat 5-5-5-5-5-5-5-5-5-5,3515.3408675,true,false,22744,,"7750 lbs | 155 lbs, 155 lbs, 155 lbs, 155 lbs, 155 lbs, 155 lbs, 155 lbs, 155 lbs, 155 lbs, and 155 lbs","E3M @68% 1 RM rounded up, 5th rep was difficult","10 rounds of:
5 Back Squats 155 lbs"
2013-01-12,"3 RFT: Double Unders, Kettlebell Swings and Pull-ups",688000,true,false,51486,688000,11 mins 28 secs,"","3 rounds of:
21 Kettlebell Swings, 35 lbs
12 Pull-ups
100 Double Unders"
2013-01-12,Grace,256000,true,false,24818,256000,4 mins 16 secs,Used a mens bar,"30 Clean & Jerks, 95 lbs"
2013-01-12,Karena,57,true,false,26329,300000,57 reps,"","60 Sit-up (standard)s
57 Wall Balls 14 lbs"
2013-01-11,FT: 400 m and Hang Squat Snatches,1088000,true,false,64008,1088000,18 mins 8 secs,"Runs sucked, form got better on snatches in round of 9 and 6","1 Run, 400 m
15 Hang Squat Snatches, 65 lbs
1 Run, 400 m
12 Hang Squat Snatches, 65 lbs
1 Run, 400 m
9 Hang Squat Snatches, 65 lbs
1 Run, 400 m
6 Hang Squat Snatches, 65 lbs"
2013-01-11,Wendler Back Squat: Week 2,,true,false,4221,,Completed,Cycle 3 No extra reps,"Sets
Back Squat, 3 reps, 70% 1RM | 140 lbs
Back Squat, 3 reps, 80% 1RM | 160 lbs
Back Squat, 3 reps, 90% 1RM | 180 lbs"
2013-01-11,Wendler Shoulder Press: Week 2,,true,false,1066,,Completed,Cycle 3,"Sets
Shoulder Press, 3 reps, 70% 1RM | 68 lbs
Shoulder Press, 3 reps, 80% 1RM | 78 lbs
Shoulder Press, 2 reps, 90% 1RM | 83 lbs"
2013-01-10,Deadlift 1-1-1-1-1-1-1,650.90505095,true,false,3591,,1435 lbs,NEW PR!! Rainbow Bar,"Sets
Deadlift, 1 rep | 135 lbs
Deadlift, 1 rep | 155 lbs
Deadlift, 1 rep | 185 lbs
Deadlift, 1 rep | 205 lbs
Deadlift, 1 rep | 225 lbs
Deadlift, 1 rep | 255 lbs
Deadlift, 1 rep | 275 lbs"
2013-01-10,Run 2 mi TT,1380000,false,false,48130,1380000,23 mins,"","Interval
Run, 2.2 mi | 23:00"
2013-01-08,Power Clean 1-1-1-1-1-1-1,412.7690567,true,false,5152,,910 lbs,a set of 30 DUs between each set.  New PR at 150 tried for 155 but failed so went back down in weight to work on catch position,"Sets
Power Clean, 1 rep | 95 lbs
Power Clean, 1 rep | 115 lbs
Power Clean, 1 rep | 135 lbs
Power Clean, 1 rep | 145 lbs
Power Clean, 1 rep | 150 lbs
Power Clean, 1 rep | 135 lbs
Power Clean, 1 rep | 135 lbs"
2013-01-08,AMRAP 10 mins: Pull-ups and Double Unders,4.5,true,false,24634,600000,4 rounds + 10 Pull-ups,"","10:00 AMRAP:
10 Pull-ups
30 Double Unders"
2013-01-08,Lifting: Bench Press and Curtis Ps,2347.34051475,true,false,4634,,5175 lbs,"","Sets
Bench Press, 5 reps | 105 lbs
Bench Press, 5 reps | 105 lbs
Bench Press, 5 reps | 105 lbs
Bench Press, 5 reps | 105 lbs
Bench Press, 5 reps | 105 lbs
Curtis P, 6 reps | 85 lbs
Curtis P, 6 reps | 85 lbs
Curtis P, 6 reps | 85 lbs
Curtis P, 6 reps | 85 lbs
Curtis P, 6 reps | 85 lbs"
2013-01-07,Wendler Deadlift Week 2,,true,false,5524,,Completed,Cycle 3,"Sets
Deadlift, 3 reps, 70% 1RM | 170 lbs
Deadlift, 3 reps, 80% 1RM | 195 lbs
Deadlift, 5 reps, 90% 1RM | 220 lbs"
2013-01-07,"""Tabata"" - Overhead Walking Lunge With Plates, Jump Rope (Heavy Rope - Light Green)s and Burpees : 8 x 20 secs / 10 secs",477,true,false,45451,720000,477 reps | 86 + 341 + 50,with crossfit kids class,"Tabata Overhead Walking Lunge With Plate, 10 lbs
Tabata Jump Rope (Heavy Rope - Light Green)
Tabata Burpee"
2013-01-04,Karen,709000,true,false,43976,709000,11 mins 49 secs,"","150 Wall Balls, 14 lbs, 9 ft"
2012-12-31,"FT: Bumper Plate Burpees, AbMat Sit-ups and Squat Clean & Jerks",838000,true,false,26300,838000,13 mins 58 secs,@ CrossFit West Houston,"25 Bumper Plate Burpees
25 AbMat Sit-ups
5 Squat Clean & Jerks, 105 lbs
20 Bumper Plate Burpees
20 AbMat Sit-ups
4 Squat Clean & Jerks, 105 lbs
15 Bumper Plate Burpees
15 AbMat Sit-ups
3 Squat Clean & Jerks, 105 lbs
10 Bumper Plate Burpees
10 AbMat Sit-ups
2 Squat Clean & Jerks, 105 lbs
5 Bumper Plate Burpees
5 AbMat Sit-ups
1 Squat Clean & Jerk, 105 lbs"
2012-12-28,Feats of Strength Games @ CFMidland,333.39039195,false,false,17275,,"735 lbs | 225 lbs, 140 lbs, 245 lbs, and 125 lbs","","29 Burpees 2 mins
1 Back Squat 225 lbs
1 Bench Press 140 lbs
11 Toes-to-bars 2 mins
1 25 m Deadlift Carry 245 lbs
1 Thruster 125 lbs"
2012-12-27,"2 RFT: 800 m, Pull-ups, Front Squats and 2 more",1188000,false,false,59511,1188000,19 mins 48 secs,1 round of the regular,"2 rounds of:
Run, 400 m
15 Pull-ups
15 Front Squats, 85 lbs
15 Knees-to-chests
15 Power Cleans, 85 lbs"
2012-12-26,Annie,500000,false,false,39165,500000,8 mins 20 secs,"","50-40-30-20-10 reps of:
Double Under
Sit-up (abmat)"
2012-12-26,Wendler Back Squat: Week 1,,true,false,7762,,Completed,Start of Cycle 3,"Sets
Back Squat, 5 reps, 65% 1RM | 130 lbs
Back Squat, 5 reps, 75% 1RM | 150 lbs
Back Squat, 7 reps, 85% 1RM | 170 lbs"
2012-12-26,Wendler Bench Press: Week 1,,true,false,2810,,Completed,Start of Cycle 3,"Sets
Bench Press, 5 reps, 65% 1RM | 85 lbs
Bench Press, 5 reps, 75% 1RM | 99 lbs
Bench Press, 6 reps, 85% 1RM | 112 lbs"
2012-12-22,12 Days of Christmas - CFTC Style,3844000,false,false,137307,3844000,64 mins 4 secs,at capstone crossfit dnf,"36 Burpees
35 Handstand Push-ups
11 Deadlifts 205 lbs
36 Ring Push-ups
11 Kettlebell Thrusters 70 lbs
22 Toes-to-bars
27 Double Unders
32 Turkish Get Ups 12 kg
11 200 m Runs
32 Goblet Squats 20 kg
35 Parallette Pass Throughs
0 Row Calories"
2012-12-18,Snatch 1-1-1-1-1,156.48936765,false,false,2913,,345 lbs,"Tried three times at 105, each pull got higher but could not catch in the right position","Sets
Snatch, 1 rep | 65 lbs
Snatch, 1 rep | 85 lbs
Snatch, 1 rep | 95 lbs
Snatch, 1 rep | 100 lbs
Snatch, 0 reps | 105 lbs"
2012-12-18,Front Squat 1-1-1-1-1,351.53408675,false,false,2304,,775 lbs,"","Sets
Front Squat, 1 rep | 135 lbs
Front Squat, 1 rep | 145 lbs
Front Squat, 1 rep | 155 lbs
Front Squat, 1 rep | 165 lbs
Front Squat, 1 rep | 175 lbs"
2012-12-18,Wendler Shoulder Press: Week 1,,true,false,1907,,Completed,"Start of Cycle 3
Almost did not get the fifth rep of the last set","Sets
Shoulder Press, 5 reps, 65% 1RM | 62 lbs
Shoulder Press, 5 reps, 75% 1RM | 72 lbs
Shoulder Press, 5 reps, 85% 1RM | 82 lbs"
2012-12-17,Clean & Jerk 1-1-1-1-1,299.3709642,true,false,5211,,660 lbs,"PRed by 5 pounds, had a slight press out, went for 150 but missed clean and time ran out","Sets
Clean & Jerk, 1 rep | 115 lbs
Clean & Jerk, 1 rep | 125 lbs
Clean & Jerk, 1 rep | 135 lbs
Clean & Jerk, 1 rep | 140 lbs
Clean & Jerk, 1 rep | 145 lbs"
2012-12-17,Front Squat 1-1-1-1-1,494.4156833,false,false,3234,,1090 lbs,Got 180 on my second try PRed by 7.5 lbs!!,"Sets
Front Squat, 2 reps | 135 lbs
Front Squat, 1 rep | 145 lbs
Front Squat, 1 rep | 155 lbs
Front Squat, 1 rep | 165 lbs
Front Squat, 1 rep | 175 lbs
Front Squat, 0 reps | 180 lbs
Front Squat, 1 rep | 180 lbs"
2012-12-17,Wendler Deadlift Week 1,,true,false,8667,,Completed,Start of Cycle 3 new starting weight 245,"Sets
Deadlift, 5 reps, 65% 1RM | 160 lbs
Deadlift, 5 reps, 75% 1RM | 185 lbs
Deadlift, 8 reps, 85% 1RM | 210 lbs"
2012-12-15,"3x AMRAP 3 mins: Kettlebell Swing (American)s, Lateral Burpee (Over Barbell)s, Kettlebell Swing (American)s and 11 more",2.951,true,false,0,540000,2.951 rounds,"","3x 3:00 AMRAP:
1 Kettlebell Swing (American)
1 Lateral Burpee (Over Barbell)
2 Kettlebell Swing (American)s
2 Lateral Burpee (Over Barbell)s
3 Kettlebell Swing (American)s
3 Lateral Burpee (Over Barbell)s
4 Kettlebell Swing (American)s
4 Lateral Burpee (Over Barbell)s
5 Kettlebell Swing (American)s
5 Lateral Burpee (Over Barbell)s
6 Kettlebell Swing (American)s
6 Lateral Burpee (Over Barbell)s
7 Kettlebell Swing (American)s
7 Lateral Burpee (Over Barbell)s
Resting 5 mins in between each AMRAP."
2012-12-14,Lifting: Power Cleans and Weighted Dips,680.388555,false,false,18765,,1500 lbs,"Used small black band for dips w/ knees in band, really only help at the bottom of the dip","Sets
Power Clean, 2 reps, 85% 1RM | 125 lbs
Power Clean, 2 reps, 85% 1RM | 125 lbs
Power Clean, 2 reps, 85% 1RM | 125 lbs
Power Clean, 2 reps, 85% 1RM | 125 lbs
Power Clean, 2 reps, 85% 1RM | 125 lbs
Power Clean, 2 reps, 85% 1RM | 125 lbs
Weighted Dip, 6 reps | 0 lbs
Weighted Dip, 6 reps | 0 lbs
Weighted Dip, 6 reps | 0 lbs
Weighted Dip, 6 reps | 0 lbs
Weighted Dip, 6 reps | 0 lbs
Weighted Dip, 6 reps | 0 lbs"
2012-12-14,Front Squat 2-2-2,408.233133,true,false,2717,,900 lbs,87.5% 1RM,"Sets
Front Squat, 2 reps | 150 lbs
Front Squat, 2 reps | 150 lbs
Front Squat, 2 reps | 150 lbs"
2012-12-12,"GHD Sit-ups, GHD Hip Extensions, Yoke Carries",33331,false,false,33331,,Completed,"Suppose to be 12 rounds but ran out of time, abs were shot the next day","12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 190 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs
12 GHD Sit-ups
12 GHD Hip Extensions
1 25 m Yoke Carry 210 lbs"
2012-12-11,Lifting: Split Jerks and Weighted Pull-ups,226.796185,false,false,7667,,500 lbs,"Small black band for pull-ups to get 4 unbroken, all strict","Sets
Split Jerk, 2 reps, 85% 1RM | 125 lbs
Split Jerk, 2 reps, 85% 1RM | 125 lbs
Split Jerk, 2 reps, 85% 1RM | 0 lbs
Split Jerk, 2 reps, 85% 1RM | 0 lbs
Split Jerk, 2 reps, 85% 1RM | 0 lbs
Split Jerk, 2 reps, 85% 1RM | 0 lbs
Weighted Pull-up, 4 reps | 0 lbs
Weighted Pull-up, 4 reps | 0 lbs
Weighted Pull-up, 4 reps | 0 lbs
Weighted Pull-up, 4 reps | 0 lbs
Weighted Pull-up, 4 reps | 0 lbs
Weighted Pull-up, 4 reps | 0 lbs"
2012-12-11,FT: Push-up (hand release)s and Bench Press,0,true,false,17177,0,"",Bench press was a lot harder than expected after doing the push ups,"10 Push-up (hand release)s
1 Bench Press, 105 lbs
9 Push-up (hand release)s
1 Bench Press, pick load
8 Push-up (hand release)s
1 Bench Press, pick load
7 Push-up (hand release)s
1 Bench Press, pick load
6 Push-up (hand release)s
1 Bench Press, pick load
5 Push-up (hand release)s
1 Bench Press, pick load
4 Push-up (hand release)s
1 Bench Press, pick load
3 Push-up (hand release)s
1 Bench Press, pick load
2 Push-up (hand release)s
1 Bench Press, pick load
1 Push-up (hand release)
1 Bench Press, pick load"
2012-12-11,Wendler Deadlift: Week 4,,true,false,5109,,Completed,"","Sets
Deadlift, 5 reps, 40% 1RM | 94 lbs
Deadlift, 5 reps, 50% 1RM | 118 lbs
Deadlift, 5 reps, 60% 1RM | 143 lbs"
2012-12-10,Every 1:30 for 9 mins: Squat Snatch,4331,true,false,4331,540000,Completed,1 Miss on Round 5 but got the 2 prescribed in the time alloted,"Every 1:30 for 9 mins
2 Squat Snatches, 85 lbs
2 Squat Snatches, 85 lbs
2 Squat Snatches, 85 lbs
2 Squat Snatches, 85% 1RM
2 Squat Snatches, 85% 1RM
2 Squat Snatches, 85% 1RM"
2012-12-10,Front Squat 3-3-3,,true,false,1140,,"Completed | 105 lbs, 0 lbs, and 0 lbs","","Sets
Front Squat, 3 reps | 105 lbs
Front Squat, 3 reps | 125 lbs
Front Squat, 3 reps | 145 lbs"
2012-12-10,Lifting: Clean High Pulls and Kettlebell Swing (Russian)s,1190.67997125,true,false,0,,2625 lbs,"","Sets
Clean High Pull, 5 reps | 105 lbs
Clean High Pull, 5 reps | 105 lbs
Clean High Pull, 5 reps | 105 lbs
Clean High Pull, 5 reps | 105 lbs
Clean High Pull, 5 reps | 105 lbs
Kettlebell Swing (Russian), 10 reps | 0 lbs
Kettlebell Swing (Russian), 10 reps | 0 lbs
Kettlebell Swing (Russian), 10 reps | 0 lbs
Kettlebell Swing (Russian), 10 reps | 0 lbs
Kettlebell Swing (Russian), 10 reps | 0 lbs"
2012-12-08,God Bless Texas (3-2-1863),9.631,false,false,165276,1800000,9.631 rounds,"Done as a partner workout with Amanda, Deadlifts were partner deadlifts @ 155","9 rounds of:
16 Air Squats
18 Deadlifts 75 lbs
33 Double Unders
200 m Runs
plus a partial round of:
16 Air Squats
18 Deadlifts 75 lbs
33 Double Unders
100 m Runs"
2012-12-07,CrossFit Games Open 12.2,65,true,false,40340,600000,65 reps,"","AMReps in 10 mins:
30 Snatches, 45 lbs | 30 reps
30 Snatches, 75 lbs | 30 reps
30 Snatches, 100 lbs | 5 reps
Snatch, 120 lbs"
2012-12-06,"50-35-20: Wall Balls, Pull-ups and Double Unders",1355000,true,false,38868,1355000,22 mins 35 secs,"","50-35-20 reps of:
Wall Ball
Pull-up
Double Under"
2012-12-06,Wendler Bench Press: Week 3,,true,false,2258,,"Completed | 95 lbs, 108 lbs, and 120 lbs","","Sets
Bench Press, 5 reps, 75% 1RM | 95 lbs
Bench Press, 3 reps, 85% 1RM | 108 lbs
Bench Press, 4 reps, 95% 1RM | 120 lbs"
2012-12-05,Deadlift 5-5-5,1485.51501175,true,false,8409,,3275 lbs,Warmed up with 5-5-3@ 95-120-145,"Sets
Deadlift, 5 reps | 160 lbs
Deadlift, 5 reps | 175 lbs
Deadlift, 8 reps | 200 lbs"
2012-12-05,7 RFT: Kettlebell Swings and Box Jumps,631000,true,false,50736,631000,10 mins 31 secs,"","7 rounds of:
12 Kettlebell Swings, 1.5 pood
12 Box Jumps, 20 in"
2012-12-04,"3 RFT: Rows, Burpees and 400 m",1185000,true,false,127242,1185000,19 mins 45 secs,"","3 rounds of:
Row, 500 m
21 Burpees
Run, 400 m"
2012-12-04,Wendler Shoulder Press: Week 3,,true,false,1312,,Completed,"","Sets
Shoulder Press, 5 reps, 75% 1RM | 68 lbs
Shoulder Press, 3 reps, 85% 1RM | 77 lbs
Shoulder Press, 2 reps, 95% 1RM | 86 lbs"
2012-12-04,Wendler Deadlift Week 3,,true,false,4335,,"Completed | 176 lbs, 200 lbs, and 223 lbs","","Sets
Deadlift, 5 reps, 75% 1RM | 176 lbs
Deadlift, 3 reps, 85% 1RM | 200 lbs
Deadlift, 1 rep, 95% 1RM | 223 lbs"
